#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: Notes.png (512 x 2046)
# $TexturePacker:SmartUpdate:8e12561846cc5d31a7af99b15517ed24:55e0fb98ae84b3483af7cef979a43be0:62638a7907f67844717c23f8fe57e0ea$
#

arrowDOWN0000;0;216;893;147;162;147;162;0.5;0.5
arrowLEFT0000;0;223;665;163;147;163;147;0.5;0.5
arrowRIGHT0000;1;365;1142;146;161;161;146;0.5;0.5
arrowUP0000;0;365;814;146;162;146;162;0.5;0.5
blue hold end0000;0;217;1221;146;75;146;75;0.5;0.5
blue hold piece0000;0;214;814;146;77;146;77;0.5;0.5
blue0000;0;209;1453;147;161;147;161;0.5;0.5
down confirm0000;0;1;1;222;236;226;243;0.509009009009009;0.510593220338983
down confirm0001;0;1;239;222;236;226;243;0.509009009009009;0.510593220338983
down confirm0002;0;1;1829;205;216;226;243;0.5121951219512195;0.5069444444444444
down confirm0003;0;1;1829;205;216;226;243;0.5121951219512195;0.5069444444444444
down press0000;1;359;1745;148;134;138;152;0.5;0.5
down press0001;1;359;1745;148;134;138;152;0.5;0.5
down press0002;0;209;1616;138;152;138;152;0.5;0.5
down press0003;0;209;1616;138;152;138;152;0.5;0.5
green hold end0000;0;217;1221;146;75;146;75;0.5;0.5
green hold piece0000;0;214;814;146;77;146;77;0.5;0.5
green0000;0;358;1446;147;161;147;161;0.5;0.5
left confirm0000;1;1;1387;206;219;232;218;0.5114155251141552;0.5097087378640777
left confirm0001;1;1;1608;206;219;232;218;0.5114155251141552;0.5097087378640777
left confirm0002;1;1;939;213;222;232;218;0.509009009009009;0.5117370892018779
left confirm0003;1;1;939;213;222;232;218;0.509009009009009;0.5117370892018779
left press0000;0;209;1770;148;134;153;139;0.5033783783783784;0.4962686567164179
left press0001;0;209;1770;148;134;153;139;0.5033783783783784;0.4962686567164179
left press0002;1;217;1298;139;153;153;139;0.5;0.5
left press0003;1;217;1298;139;153;153;139;0.5;0.5
purple hold end0000;0;217;1221;146;75;146;75;0.5;0.5
purple hold piece0000;0;214;814;146;77;146;77;0.5;0.5
purple0000;1;365;978;146;162;162;146;0.5;0.5
red hold end0000;0;217;1221;146;75;146;75;0.5;0.5
red hold piece0000;0;214;814;146;77;146;77;0.5;0.5
red0000;1;217;1057;146;162;162;146;0.5;0.5
right confirm0000;1;225;236;211;225;235;219;0.5133333333333333;0.504739336492891
right confirm0001;1;1;712;211;225;235;219;0.5133333333333333;0.504739336492891
right confirm0002;1;1;1163;214;222;235;219;0.5112612612612613;0.5070093457943925
right confirm0003;1;1;1163;214;222;235;219;0.5112612612612613;0.5070093457943925
right press0000;0;362;1609;149;134;153;139;0.5067114093959731;0.4962686567164179
right press0001;0;362;1609;149;134;153;139;0.5067114093959731;0.4962686567164179
right press0002;0;358;1305;153;139;153;139;0.5;0.5
right press0003;0;358;1305;153;139;153;139;0.5;0.5
up confirm0000;0;225;1;220;233;223;241;0.5068181818181818;0.5085836909871244
up confirm0001;0;1;477;220;233;223;241;0.5068181818181818;0.5085836909871244
up confirm0002;1;225;463;210;200;223;241;0.5075;0.5119047619047619
up confirm0003;1;225;463;210;200;223;241;0.5075;0.5119047619047619
up press0000;0;362;1881;134;148;138;152;0.5;0.5
up press0001;0;362;1881;134;148;138;152;0.5;0.5
up press0002;1;208;1906;152;138;138;152;0.5;0.5
up press0003;1;208;1906;152;138;138;152;0.5;0.5
